,target_azimuth,target_elevation,measurement_azimuth,measurement_elevation,center_frequency,psd_bandwidth,timestamp,frequency_start,frequency_stop,frequency_step,samples,psd_0,psd_1,psd_2,psd_3,psd_4,psd_5,psd_6,psd_7,psd_8,psd_9,psd_10,psd_11,psd_12,psd_13,psd_14,psd_15,psd_min,psd_max,psd_mean
59,326.5,-4.5,326.5,-4.5,1250000000.0,250000.0,2023-03-03 17:11:46,1248000000.0,1252000000.0,250000.0,4000440,-74.10628,-74.547005,-70.42262,-68.72778,-68.68489,-68.9405,-68.595184,-68.443016,-68.073105,-68.4837,-68.54682,-68.85957,-68.96614,-69.20878,-69.837105,-71.08943,-74.547005,-68.073105,-69.7207453125
60,326.5,-3.5,326.5,-4.0,1250000000.0,250000.0,2023-03-03 17:11:59,1248000000.0,1252000000.0,250000.0,4000440,-73.93584,-74.278145,-70.251945,-68.6831,-68.67989,-68.96784,-68.70234,-68.523575,-68.11688,-68.55884,-68.66771,-68.950645,-69.035225,-69.306206,-69.94107,-71.05336,-74.278145,-68.11688,-69.7282881875
61,325.5,-3.5,326.0,-3.5,1250000000.0,250000.0,2023-03-03 17:12:10,1248000000.0,1252000000.0,250000.0,4000440,-74.02684,-74.242676,-70.447876,-68.825966,-68.81761,-68.91807,-68.64521,-68.509285,-68.197655,-68.45891,-68.59718,-68.98573,-69.01686,-69.38898,-70.01364,-71.17788,-74.242676,-68.197655,-69.766898
62,324.5,-3.5,325.0,-3.5,1250000000.0,250000.0,2023-03-03 17:12:20,1248000000.0,1252000000.0,250000.0,4000440,-73.57137,-73.58945,-70.28823,-68.81798,-68.89646,-68.71645,-68.56233,-68.385124,-68.103546,-68.36391,-68.45988,-68.952286,-68.96336,-69.44723,-69.968094,-71.05915,-73.58945,-68.103546,-69.634053125
63,323.5,-3.5,324.0,-3.5,1250000000.0,250000.0,2023-03-03 17:12:31,1248000000.0,1252000000.0,250000.0,4000440,-72.97826,-72.56661,-70.089485,-68.93733,-68.936935,-68.59999,-68.418434,-68.28045,-68.15999,-68.225204,-68.3976,-68.79668,-68.84893,-69.389946,-69.7684,-70.86108,-72.97826,-68.15999,-69.45345775
64,322.5,-3.5,323.0,-3.5,1250000000.0,250000.0,2023-03-03 17:12:39,1248000000.0,1252000000.0,250000.0,4000440,-72.00252,-71.233246,-69.56023,-68.881744,-68.77347,-68.37363,-68.24031,-68.106415,-68.08024,-67.99798,-68.131096,-68.41227,-68.55401,-68.98067,-69.33286,-70.32268,-72.00252,-67.99798,-69.0614606875
65,321.5,-3.5,322.0,-3.5,1250000000.0,250000.0,2023-03-03 17:12:48,1248000000.0,1252000000.0,250000.0,4000440,-71.38329,-70.530785,-69.202415,-68.723724,-68.596695,-68.23619,-68.10185,-67.95407,-67.94008,-67.75235,-67.83568,-68.02323,-68.21705,-68.56649,-68.914215,-69.8547,-71.38329,-67.75235,-68.739550875
66,320.5,-3.5,321.0,-3.5,1250000000.0,250000.0,2023-03-03 17:12:59,1248000000.0,1252000000.0,250000.0,4000440,-70.89883,-69.93303,-68.906784,-68.58153,-68.4018,-68.10738,-67.96454,-67.8262,-67.79086,-67.57946,-67.57842,-67.732,-67.94005,-68.24256,-68.64292,-69.55007,-70.89883,-67.57842,-68.479777125
67,319.5,-3.5,319.5,-3.5,1250000000.0,250000.0,2023-03-03 17:13:08,1248000000.0,1252000000.0,250000.0,4000440,-70.97871,-69.99267,-69.037964,-68.79298,-68.64664,-68.45114,-68.259346,-68.07328,-68.01064,-67.7254,-67.65313,-67.737015,-67.93998,-68.21644,-68.66481,-69.62519,-70.97871,-67.65313,-68.6128334375
68,318.5,-3.5,318.5,-3.5,1250000000.0,250000.0,2023-03-03 17:13:24,1248000000.0,1252000000.0,250000.0,4000440,-71.28323,-70.30002,-69.371155,-69.13786,-68.95718,-68.74334,-68.52358,-68.351166,-68.27108,-67.999176,-67.93872,-68.04637,-68.22081,-68.47017,-68.96085,-69.91597,-71.28323,-67.93872,-68.9056673125
